#No,nProcs,solver,executionTimePerTimeStepAve[s],clockTimePerTimeStepAve[s],executionTimePerTimeStepAve/No1,clockTimePerTimeStepAve/No1
1,108,PCG-DIC,0.93803999999999998,0.94399999999999995,1.0,1.0
2,72,PCG-DIC,1.0472399999999999,1.048,1.1164129461430217,1.1101694915254239
3,144,PCG-DIC,1.27068,1.268,1.3546117436356659,1.343220338983051
4,36,PCG-DIC,2.0652399999999997,2.0680000000000005,2.2016545136667944,2.1906779661016955
5,36,GAMG-DIC,3.05904,3.0600000000000001,3.2610976077779199,3.2415254237288136
6,18,GAMG-DIC,3.4123999999999994,3.4159999999999995,3.6377979617073892,3.6186440677966099
7,18,PCG-DIC,4.3834800000000005,4.3839999999999995,4.6730203402839967,4.6440677966101696
8,72,GAMG-DIC,5.9114800000000001,5.9160000000000004,6.3019487441900131,6.2669491525423737
9,108,GAMG-DIC,6.3033199999999994,6.3160000000000007,6.7196708029508327,6.6906779661016964
10,144,GAMG-DIC,6.4480000000000004,6.4480000000000004,6.8739072960641341,6.8305084745762716
